image,class,layer,nozzle,filament,ex_mul,retraction,layer_height,filament_color,shape,recording,printbed_color,extrusion_multiplier,extrusion_std,modified_layers,brightness,mean_brightness
all_images256/ELP_12MP_01.12.2022_166990882982.png,0,4,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,164,145
all_images256/ELP_12MP_01.12.2022_166990882986.png,0,4,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,157,145
all_images256/ELP_12MP_01.12.2022_166990887746.png,0,5,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,150,145
all_images256/ELP_12MP_01.12.2022_166990887749.png,0,5,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,161,145
all_images256/ELP_12MP_01.12.2022_166990892905.png,0,6,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,160,145
all_images256/ELP_12MP_01.12.2022_166990892910.png,0,6,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,151,145
all_images256/ELP_12MP_01.12.2022_166990898184.png,0,7,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,160,145
all_images256/ELP_12MP_01.12.2022_166990898188.png,0,7,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,153,145
all_images256/ELP_12MP_01.12.2022_166990904300.png,0,8,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,153,145
all_images256/ELP_12MP_01.12.2022_166990904305.png,0,8,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,165,145
all_images256/ELP_12MP_01.12.2022_166990906221.png,0,9,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,157,145
all_images256/ELP_12MP_01.12.2022_166990906226.png,0,9,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,167,145
all_images256/ELP_12MP_01.12.2022_166990908515.png,0,10,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,163,145
all_images256/ELP_12MP_01.12.2022_166990908519.png,0,10,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,156,145
all_images256/ELP_12MP_01.12.2022_166990910819.png,0,11,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,157,145
all_images256/ELP_12MP_01.12.2022_166990910823.png,0,11,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,157,145
all_images256/ELP_12MP_01.12.2022_166990913146.png,0,12,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,152,145
all_images256/ELP_12MP_01.12.2022_166990913150.png,0,12,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,154,145
all_images256/ELP_12MP_01.12.2022_166990915556.png,0,13,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,155,145
all_images256/ELP_12MP_01.12.2022_166990915561.png,0,13,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,154,145
all_images256/ELP_12MP_01.12.2022_166990917828.png,0,14,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,154,145
all_images256/ELP_12MP_01.12.2022_166990917833.png,0,14,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,154,145
all_images256/ELP_12MP_01.12.2022_166990920149.png,0,15,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,149,145
all_images256/ELP_12MP_01.12.2022_166990920154.png,0,15,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,152,145
all_images256/ELP_12MP_01.12.2022_166990922529.png,0,16,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,154,145
all_images256/ELP_12MP_01.12.2022_166990922534.png,0,16,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,154,145
all_images256/ELP_12MP_01.12.2022_166990925088.png,0,17,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,149,145
all_images256/ELP_12MP_01.12.2022_166990925093.png,0,17,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,153,145
all_images256/ELP_12MP_01.12.2022_166990927469.png,0,18,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,153,145
all_images256/ELP_12MP_01.12.2022_166990927473.png,0,18,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,152,145
all_images256/ELP_12MP_01.12.2022_166990929848.png,0,19,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,153,145
all_images256/ELP_12MP_01.12.2022_166990929852.png,0,19,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,152,145
all_images256/ELP_12MP_01.12.2022_166990932219.png,0,20,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,152,145
all_images256/ELP_12MP_01.12.2022_166990932223.png,0,20,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,152,145
all_images256/ELP_12MP_01.12.2022_166990934631.png,0,21,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,145,145
all_images256/ELP_12MP_01.12.2022_166990934636.png,0,21,0.4,PLA,1.05,8.0,0.3,gray,1,Recording_01122022_15_27_47,black,,,,143,145
